T1,T2,T3,T4,T5,T6,final_stability,final_resources,final_workload,final_confidence,floor_hit,tags
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),80,60,20,45,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),90,50,20,50,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,100,25,40,65,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,90,35,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,80,45,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),90,35,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,25,40,65,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,80,50,40,65,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,70,60,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,60,70,40,60,,Resource Preservation | Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),70,60,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),80,50,40,65,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Commit Remaining Resources,100,40,40,65,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Controlled Response,90,50,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Protect Reserves,80,60,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Calm),90,50,40,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Pushy),100,40,40,65,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Commit Remaining Resources,90,50,35,65,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Controlled Response,80,60,35,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Protect Reserves,70,70,35,60,,Resource Preservation | Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),80,60,35,60,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Pushy),90,50,35,65,,Controlled Recovery
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Immediate Maintenance Programme,Commit Remaining Resources,100,25,25,70,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Immediate Maintenance Programme,Controlled Response,90,35,25,65,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Immediate Maintenance Programme,Protect Reserves,80,45,25,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Calm),90,35,25,65,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,25,25,70,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Accept Elevated Risk,Commit Remaining Resources,80,50,25,70,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Accept Elevated Risk,Controlled Response,70,60,25,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Accept Elevated Risk,Protect Reserves,60,70,25,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Accept Elevated Risk,Follow AI Rec (Calm),70,60,25,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Accept Elevated Risk,Follow AI Rec (Pushy),80,50,25,70,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Prioritise Critical Assets,Commit Remaining Resources,100,40,25,70,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Prioritise Critical Assets,Controlled Response,90,50,25,65,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Prioritise Critical Assets,Protect Reserves,80,60,25,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Calm),90,50,25,65,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Pushy),100,40,25,70,,Steady Management
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Await Additional Data,Commit Remaining Resources,90,50,20,70,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Await Additional Data,Controlled Response,80,60,20,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Await Additional Data,Protect Reserves,70,70,20,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Await Additional Data,Follow AI Rec (Calm),80,60,20,65,,Resource Preservation
Request Full AI Analysis,Prioritise Infrastructure,Reduce Monitoring Scope,Reassure Public,Await Additional Data,Follow AI Rec (Pushy),90,50,20,70,,Resource Preservation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,90,5,30,95,,System Collapse
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,80,15,30,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,70,25,30,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),80,15,30,90,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),90,5,30,95,,AI Dependence | System Collapse
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,70,30,30,95,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Controlled Response,60,40,30,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Protect Reserves,50,50,30,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Calm),60,40,30,90,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Pushy),70,30,30,95,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Commit Remaining Resources,90,20,30,95,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Controlled Response,80,30,30,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Protect Reserves,70,40,30,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Calm),80,30,30,90,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Pushy),90,20,30,95,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Await Additional Data,Commit Remaining Resources,80,30,25,95,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Await Additional Data,Controlled Response,70,40,25,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Await Additional Data,Protect Reserves,60,50,25,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Await Additional Data,Follow AI Rec (Calm),70,40,25,90,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Launch Visible Response,Await Additional Data,Follow AI Rec (Pushy),80,30,25,95,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Commit Remaining Resources,90,25,30,65,,Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Controlled Response,80,35,30,60,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Protect Reserves,70,45,30,60,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Calm),80,35,30,60,,AI Dependence | Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Pushy),90,25,30,65,,AI Dependence | Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Commit Remaining Resources,70,50,30,65,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Controlled Response,60,60,30,60,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Protect Reserves,50,70,30,60,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Calm),60,60,30,60,,AI Dependence | Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Pushy),70,50,30,65,,AI Dependence | Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Commit Remaining Resources,90,40,30,65,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Controlled Response,80,50,30,60,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Protect Reserves,70,60,30,60,,Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Calm),80,50,30,60,,AI Dependence | Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Pushy),90,40,30,65,,AI Dependence | Deferred Escalation | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Await Additional Data,Commit Remaining Resources,80,50,25,65,,Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Await Additional Data,Controlled Response,70,60,25,60,,Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Await Additional Data,Protect Reserves,60,70,25,60,,Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),70,60,25,60,,AI Dependence | Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),80,50,25,65,,AI Dependence | Deferred Escalation
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,90,25,45,80,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,80,35,45,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,70,45,45,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),80,35,45,75,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),90,25,45,80,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,70,50,45,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,60,60,45,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,50,70,45,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),60,60,45,75,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),70,50,45,80,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Commit Remaining Resources,90,40,45,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Controlled Response,80,50,45,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Protect Reserves,70,60,45,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Calm),80,50,45,75,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Prioritise Critical Assets,Follow AI Rec (Pushy),90,40,45,80,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Commit Remaining Resources,80,50,40,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Controlled Response,70,60,40,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Protect Reserves,60,70,40,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Calm),70,60,40,75,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Open Emergency Investigation,Await Additional Data,Follow AI Rec (Pushy),80,50,40,80,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Commit Remaining Resources,90,25,30,85,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Controlled Response,80,35,30,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Protect Reserves,70,45,30,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Calm),80,35,30,80,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Immediate Maintenance Programme,Follow AI Rec (Pushy),90,25,30,85,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Accept Elevated Risk,Commit Remaining Resources,70,50,30,85,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Accept Elevated Risk,Controlled Response,60,60,30,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Accept Elevated Risk,Protect Reserves,50,70,30,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Accept Elevated Risk,Follow AI Rec (Calm),60,60,30,80,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Accept Elevated Risk,Follow AI Rec (Pushy),70,50,30,85,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Commit Remaining Resources,90,40,30,85,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Controlled Response,80,50,30,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Protect Reserves,70,60,30,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Calm),80,50,30,80,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Prioritise Critical Assets,Follow AI Rec (Pushy),90,40,30,85,,AI Dependence | Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Await Additional Data,Commit Remaining Resources,80,50,25,85,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Await Additional Data,Controlled Response,70,60,25,80,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Await Additional Data,Protect Reserves,60,70,25,80,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Await Additional Data,Follow AI Rec (Calm),70,60,25,80,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Wait For Analysis,Reassure Public,Await Additional Data,Follow AI Rec (Pushy),80,50,25,85,,AI Dependence
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Commit Remaining Resources,100,5,45,95,,System Collapse
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Controlled Response,90,15,45,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Protect Reserves,80,25,45,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Calm),90,15,45,90,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,5,45,95,,System Collapse
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Accept Elevated Risk,Commit Remaining Resources,80,30,45,95,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Accept Elevated Risk,Controlled Response,70,40,45,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Accept Elevated Risk,Protect Reserves,60,50,45,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Calm),70,40,45,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Accept Elevated Risk,Follow AI Rec (Pushy),80,30,45,95,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Prioritise Critical Assets,Commit Remaining Resources,100,20,45,95,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Prioritise Critical Assets,Controlled Response,90,30,45,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Prioritise Critical Assets,Protect Reserves,80,40,45,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Calm),90,30,45,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Prioritise Critical Assets,Follow AI Rec (Pushy),100,20,45,95,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Await Additional Data,Commit Remaining Resources,90,30,40,95,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Await Additional Data,Controlled Response,80,40,40,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Await Additional Data,Protect Reserves,70,50,40,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Await Additional Data,Follow AI Rec (Calm),80,40,40,90,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Launch Visible Response,Await Additional Data,Follow AI Rec (Pushy),90,30,40,95,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Commit Remaining Resources,100,25,45,65,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Controlled Response,90,35,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Protect Reserves,80,45,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Calm),90,35,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,25,45,65,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Accept Elevated Risk,Commit Remaining Resources,80,50,45,65,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Accept Elevated Risk,Controlled Response,70,60,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Accept Elevated Risk,Protect Reserves,60,70,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Calm),70,60,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Accept Elevated Risk,Follow AI Rec (Pushy),80,50,45,65,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Prioritise Critical Assets,Commit Remaining Resources,100,40,45,65,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Prioritise Critical Assets,Controlled Response,90,50,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Prioritise Critical Assets,Protect Reserves,80,60,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Calm),90,50,45,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Prioritise Critical Assets,Follow AI Rec (Pushy),100,40,45,65,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Await Additional Data,Commit Remaining Resources,90,50,40,65,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Await Additional Data,Controlled Response,80,60,40,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Await Additional Data,Protect Reserves,70,70,40,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Await Additional Data,Follow AI Rec (Calm),80,60,40,60,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Continue Monitoring,Await Additional Data,Follow AI Rec (Pushy),90,50,40,65,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Commit Remaining Resources,100,25,60,80,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Controlled Response,90,35,60,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Protect Reserves,80,45,60,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Calm),90,35,60,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Immediate Maintenance Programme,Follow AI Rec (Pushy),100,25,60,80,,Steady Management
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Commit Remaining Resources,80,50,60,80,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Controlled Response,70,60,60,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Protect Reserves,60,70,60,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Calm),70,60,60,75,,Controlled Recovery
Request Full AI Analysis,Publish Limited Advisory,Act Independently,Open Emergency Investigation,Accept Elevated Risk,Follow AI Rec (Pushy),80,50,60,80,,Controlled Recovery
